,link,tag,author,time,content,score
454679,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,comemail    , 10/17 11:54,又不是減資增資除權息關空單啥事,
454680,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,comemail    , 10/17 11:54,取消信用交易也不用回補空單有本事撐到明年4月,
454681,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,comemail    , 10/17 12:49,不是喔那是更強的前輩,
454682,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,dollshin2   , 10/17 12:38,月豬根本一言堂一堆蠢散戶超崇拜,
454683,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,drazil      , 10/17 22:04,他跌回來要花多少時間。,
454684,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,drazil      , 10/17 22:05,高點V轉的話當然最快，可是我在想上去之後回不會先,
454685,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,drazil      , 10/17 22:06,花幾個月盤頭，然後再下來。,
454686,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,Eleina      , 10/18 09:18,看不出來有人在棒康,
454687,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,jokeman     , 10/17 22:38,來空它吧,
454688,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,jokeman     , 10/17 22:38,種沒基本面，靠一些賠不怕的散戶抬轎，主力們一起,
454689,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,jokeman     , 10/17 22:46,放空，現在個股屬弱勢反彈，大盤指數靠外資撐著，,
454690,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,jokeman     , 10/17 22:46,結算後會逐漸表態,
454691,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,jokeman     , 10/17 22:46,起我全面轉空，中小型股做空比做多穩很多，建議開始,
454692,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,jokeman     , 10/17 22:47,我再補一句，空屎它,
454693,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,kevinhon    , 10/18 07:27,到投信手中就是亂，砍的時後比散戶還殺紅了眼。祝,
454694,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,kevinhon    , 10/18 07:27,福你們，這些股票總有一天像上緯一樣醜媳婦見公婆,
454695,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,kevinhon    , 10/18 07:27,般狂瀉。,
454696,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,kevinhon    , 10/18 07:27,這樣，又不是凱撒衛浴還有基本面。沒辦法，籌碼一,
454697,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,mumudog     , 10/17 17:14,15%這段不是很懂跪求解釋,
454698,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,patton      , 10/18 09:37,仍有取高機會,
454699,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,ramire      , 10/17 13:53,股票...,
454700,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,reflow      , 10/17 19:52,海期玩到空虛，回來鬼島等著空一發聊表心意,
454701,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,reflow      , 10/17 19:56,鬼島已經夠亂了，推來信Y,
454702,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,sakula248   , 10/17 11:18,他的標的不是都賺很多嗎?為什麼要黑他?,
454703,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,sakula248   , 10/17 11:52,電訪跟員工能代表什麼?,
454704,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,sakula248   , 10/17 11:56,停損設50跟檯面上分析師永遠都不會賠差不多...,
454705,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,sam455205   , 10/17 12:21,寄居蟹,
454706,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,sam455205   , 10/17 12:23,下面留言很....,
454707,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,sam455205   , 10/17 12:25,貼這個不會被吉吧哈哈哈,
454708,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,sam455205   , 10/17 21:23,亞東胖子,
454709,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,scuhans     , 10/17 20:40,人在撤還是空單,
454710,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,siarim      , 10/17 12:14,嘎上去....噗...真的很有趣,
454711,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,sp674531    , 10/17 13:58,其實月風推的股票喊買之後大部分都會漲一段只要不,
454712,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,sp674531    , 10/17 13:59,貪真的賺的到錢他喊的隔天我買在21.55漲停板,
454713,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,sp674531    , 10/17 14:00,找機會出場就好至少真的賺的到,
454714,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,staron      , 10/17 19:38,最近又加入戰局500張+,
454715,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,staron      , 10/17 19:38,籌碼戰吧！富幫初估5000張+，元大之前賣2000張獲利,
454716,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,Sueo        , 10/17 11:19,靠那邊我有20個朋友在社團裡,
454717,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,Sueo        , 10/17 12:03,我進不去,
454718,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,Sueo        , 10/17 12:08,為毛我第一次加就不給進我朋友一堆在裡面舅舅他們,
454719,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,undream     , 10/18 13:25,結XD,
454720,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,vtgc161     , 10/17 12:38,了…看到這我把我的午餐噴出來,
454721,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,wake7078    , 10/17 12:54,沒辦法跟單到45再看看炒作/利多等時間證明,
454722,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,WANG122122  , 10/17 11:53,以前好像案例故意開臨股會後來被查的案子,
454723,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,WANG122122  , 10/17 12:00,有沒有人要貼富x居的文好想看喔,
454724,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,WANG122122  , 10/17 12:07,一直亂唬弄看最後會怎樣哈哈哈,
454725,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,WANG122122  , 10/17 12:07,我想看他單挑來信大,
454726,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,WANG122122  , 10/17 12:08,來信大一講臨股會不用回補空單就殺盤了...,
454727,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,WANG122122  , 10/17 12:26,打爆寄居蟹,
454728,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,WESTONE     , 10/17 12:29,拿板凳看戲喔，門票免費XD,
454729,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,xtt496      , 10/17 12:33,這檔有大戲可看了，多空正面交戰,
454730,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,xtt496      , 10/17 13:32,小黑十字收盤,
454731,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,xtt496      , 10/17 17:20,應該是指，股價漲也是放空，跌就加倍放空,
454732,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,zero7022    , 10/17 10:48,注意風險,
454733,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,zombie123321, 10/17 14:03,的男人拓也哥還要精彩,
454734,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,zombie123321, 10/17 14:06,有沒有人要開賭盤請雞排阿?我好餓,
454735,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,噓 ,hpsno1      , 10/18 00:41,無聊，厲害的話就公開交易紀錄,
454736,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,噓 ,man1935049  , 10/17 18:44,海水退了就知誰沒穿褲子了，拉板凳看戲,
454737,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,推 ,a741085     , 10/17 12:45,沒券可跟哭哭,
454738,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,推 ,Allenguy    , 10/17 12:38,三個月前日成交5張的股票....,
454739,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,推 ,anaydh      , 10/17 12:57,空還多啊？,
454740,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,推 ,AudiA6      , 10/17 14:03,屌,
454741,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,推 ,austin1999  , 10/17 12:50,這隻上禮拜許多券商早就沒券了,
